	id	sentence	Valence	Arousal	Dominance
7992	captured_moments_28309_28326	"""And you as well?"	0.5	0.4375	0.51724137931
7324	audubon1_1709_1732	“scientific experiment”	0.5	0.4375	0.51724137931
8407	detroit_14948_15031	But here's the thing -- frogs are mutating due to the planet trying to kill itself.	0.45	0.5625	0.586206896552
5045	SemEval_1355	Singapore pampers its waterfront promenade	0.5	0.4375	0.689655172414
3789	Nathans_Bylichka_28707_28746	Madame, I have his health to consider.”	0.416666666667	0.333333333333	0.747126436782
8791	easy_money_9424_9480	I was standing on a perfectly flat square of dark stone.	0.55	0.5	0.586206896552
10109	wsj_0159_734_800	The partners said they already hold 15% of all shares outstanding.	0.5	0.4375	0.51724137931
6592	WhereToHongKong_13840_13950	Originally the temple was on the shore but reclamation projects have now left it high and dry.	0.5	0.4375	0.586206896552
4471	Ohio_Steel_18663_18885	In some instances, small companies would express interest in helping the movement or in relocating their business in the area, but because of regional pride no one could ever agree where the new businesses should relocate.	0.5	0.4375	0.51724137931
7042	alumnifund1_1604_1768	We also hope you have been able to follow the public education campaign for our master’s programs in The New York Times and elsewhere, a sign of our belief in them.	0.55	0.5	0.586206896552
9081	hotel-california_21818_21847	Some vital part broke, and...	0.2	0.625	0.172413793103
3181	NYTnewswire6_4061_4155	Child will go to the capital for the debut of the exhibit right after the Maine birthday bash.	0.55	0.5	0.448275862069
378	114CUL059_305_553	All of our Six summer camping sessions are booked to capacity (and, truth be told, with maybe one our two extra returning campers squeezed in) and we have a waiting list of 60 children who are hoping to come if a spot should open.	0.5	0.5	0.586206896552
5551	SemEval_694	US millions fail to buy influence in deadly Gaza power play	0.4	0.4375	0.448275862069
867	20020731-nyt_2455_2748	During nearly seven hours of sworn testimony last week before the members and staff of the ethics panel, Torricelli said that he had not taken any gifts from Chang, and that what items he had accepted from the businessman he had later paid Chang for, one person familiar with his account said.	0.5	0.375	0.51724137931
8527	detroit_6926_6963	(west of Livernois around McNichols).	0.5	0.3125	0.51724137931
5285	SemEval_226	Yankee pitcher's pilot log found 	0.55	0.4375	0.51724137931
1508	Ant_Robot_25960_26089	The orientation and distance should be calculable by the polarization pattern according to the system set up by Lambrinos, et al.	0.5	0.3125	0.51724137931
8476	detroit_3591_3725	"The New York Times correspondent wrote that his friend Mitch's $1,900 home ""had already been stripped of its appliances and wiring ..."	0.45	0.4375	0.51724137931
8662	easy_money_1539_1575	I stared him down until he flinched.	0.45	0.5625	0.862068965517
1631	Ant_Robot_804_1139	No robot has yet been constructed, however, that could pass undetected within a colony of the red harvester ants species Pogonomyrmex barbatus; nor has a robot managed to pass undetected in a society of insects while combining in its design several different behaviors and the thresholds of stimulation required to switch between them.	0.45	0.4375	0.448275862069
5671	SemEval_803	Mistrial for officer who refused to go to Iraq	0.45	0.4375	0.586206896552
502	116CUL032_71_125	The goal of MCCOY, Inc. has been to make a difference.	0.666666666667	0.333333333333	0.632183908046
1333	A_defense_of_Michael_Moore_4199_4298	Moore's film was made before the dead bodies of Qusay and Uday Hussein were paraded on national TV.	0.3	0.4375	0.379310344828
8674	easy_money_1963_2039	Charles might be for real, but he was still going to get me in deep trouble.	0.416666666667	0.333333333333	0.51724137931
