	id	sentence	Valence	Arousal	Dominance
8756	easy_money_7472_7482	This is it	0.6	0.5625	0.655172413793
6832	WhereToHongKong_44873_44962	On top of a hill in the center of the city, it’s approached by a grand staircase.	0.5	0.4375	0.586206896552
1902	Black_and_white_1854_2166	It is by color alone that a certain stone tells us it is a sapphire or emerald… color, then, is the peculiar characteristic of the lower forms of nature, while drawing becomes the medium of expression, more and more dominant, the higher we rise in the scale of being”	0.5	0.4375	0.51724137931
7116	anth_essay_4_4298_4596	This resulted in persecution against the Mayans, who make up about 60% of the overall population. In both counties, guerrillas were often associated with the native peoples; in many cases there were coalitions, but in others the guerrillas merely used the remote, inaccessible villages as hideouts.	0.45	0.5	0.586206896552
2183	Fermentation_HR5034_4564_4756	The bill does PROTECT a state’s wine shipping law if someone were to challenge it in court by providing the shipping law with the same presumption of validity granted other state alcohol laws.	0.5	0.4375	0.51724137931
7214	appalachian1_6289_6340	Experience the peace and beauty of coastal rhythms.	0.55	0.5625	0.586206896552
7872	captured_moments_22880_22900	"""He's not that ugly."	0.4	0.375	0.586206896552
2506	Homosexuality_7953_7959	“cure”	0.7	0.5	0.655172413793
6102	The_Black_Willow_8273_8315	"You have been a gracious host, as always."""	0.8	0.4375	0.51724137931
6410	WhatToHongKong_17299_17390	There are nightclubs in the principal hotels, with bands, dancing, and floor shows.	0.5	0.4375	0.51724137931
3839	Nathans_Bylichka_30909_30931	Make it extra bloody.”	0.55	0.5	0.655172413793
5841	SemEval_96	Sony apologises for global battery recall	0.375	0.4375	0.51724137931
10216	wsj_0187_4_206	The Finnish government and major creditors of bankrupt shipyard Waertsilae Marine Industries Oy agreed in principle to form a new company to complete most of the troubled shipyard's backlog of 15 ships.	0.458333333333	0.385416666667	0.459770114943
5371	SemEval_526	Press sees hope in Mecca talks	0.65	0.5	0.586206896552
5635	SemEval_771	Personal health: for teenagers, the car is the danger zone	0.45	0.5	0.51724137931
5074	SemEval_1381	Al Qaeda group calls for attacks on U.S. oil	0.25	0.625	0.379310344828
9295	hotel-california_30695_30716	“We can't,” said Ray.	0.35	0.4375	0.379310344828
3202	NYTnewswire6_6585_6613	Corn vichyssoise with caviar	0.5	0.359375	0.51724137931
9626	lessig_blog-carbon_8063_8232	The cost for large companies to make any updates to their e-commerce sites is significant, another factor in keeping the type of program you'd like from being available.	0.45	0.4375	0.448275862069
6070	The_Black_Willow_6044_6066	"""How perfectly awful."""	0.25	0.4375	0.379310344828
4091	Nathans_Bylichka_43845_43866	Nepthys looked at me.	0.583333333333	0.541666666667	0.51724137931
6081	The_Black_Willow_6754_6832	"There simply is no audience for fairy tales – no literate audience, at least."""	0.35	0.4375	0.379310344828
4768	SemEval_1101	A shot in the arm	0.4375	0.4375	0.51724137931
5655	SemEval_79	Bucs find a new kick in life	0.55	0.4375	0.51724137931
6531	WhatToHongKong_748_861	Note that alcohol and tobacco are both exceptions to Hong Kong’s duty-free regime and are subject to tax.	0.45	0.4375	0.586206896552
7564	cable_spool_fort_2547_2608	Roy was too slow, but he didn't dare step away from his fort.	0.35	0.375	0.448275862069
1672	Anti-Terrorist_4282_4370	The moral and religious theories which support terrorism are quite faulty and erroneous.	0.45	0.4375	0.586206896552
8544	detroit_7976_8078	Think about that for a moment, hoes and shovels don't have enough pawn value to be worth carrying out.	0.45	0.5	0.448275862069
5194	SemEval_1492	Taliban leader killed in airstrike	0.375	0.4375	0.51724137931
2801	Madame_White_Snake_1754_1762	“Pagoda”	0.5	0.5	0.51724137931
863	20020731-nyt_24352_24425	"""suggests that the marketplace for important items is enormously strong,"""	0.55	0.5	0.586206896552
5164	SemEval_1464	Ethiopia readies for millennium all its own	0.5	0.4375	0.51724137931
7558	cable_spool_fort_217_327	Roy stooped to pick up a big, white caliche rock that looked like a dirty lump of chalk and handed it to Chad.	0.5	0.375	0.586206896552
278	112C-L016_502_688	After our caseworkers meet with these families and their children they often find they lack even the basic necessities such as cooking utensils, beds, cleaning supplies, etc.	0.4	0.4375	0.51724137931
